config.base_keys,config.base_ts_ms,config.checkpoint_events,config.clock_skew_ms,config.commit_coarsening,config.config_hash,config.dup_rate,config.enforcement_mode,config.format,config.insert_rate,config.keep_tables,config.key_columns,config.keys_sampled,config.max_events,config.ooo_rate,config.ooo_window,config.op_mix,config.payload_columns,config.precombine_field,config.scale_factor,config.schema_change_freq,config.seed,config.ts_step_ms,config.version_column,config.versions_per_key_mean,correctness.checker_oracle_mismatch,correctness.n_agree,correctness.n_checker_abstain,correctness.n_correctly_absent,correctness.n_delete_tail_blind,correctness.n_duplicate,correctness.n_ghost,correctness.n_keys,correctness.n_match,correctness.n_missing_current,correctness.n_stale_wins,correctness.n_violations,correctness.violation_rate,cost.apply_time_s,cost.bytes_data,cost.bytes_delete,cost.bytes_total,cost.commit_count,cost.compact_time_s,cost.data_files,cost.delete_files,cost.events,cost.events_per_s,cost.gen_time_s,cost.mb_per_s,cost.peak_rss_mb,cost.readback_time_s,error,status
1200,1700000000000,50000,400,6,211dcef9b3a6,0.05,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.05,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.2,101,1,lsn,4,False,1075,0,13,46,811,172,1260,276,0,1,984,0.780952380952381,4.103,55571,6570,62141,10,0.0,10,9,9127,2224.5,0.445,0.015,49.4,0.986,,ok
1200,1700000000000,50000,400,6,29ce598f1292,0.05,safe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.05,4,"[0.8, 0.15, 0.05]","[""val""]",lsn,1,0.2,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1260,0,0,0,0.0,9.279,95404,32424,127828,51,0.0,50,50,13360,1439.8,0.445,0.014,46.4,1.383,,ok
1200,1700000000000,50000,400,6,a03dd8040e54,0.05,safe_compact,iceberg,0.05,False,"[""id""]",1.0,5000000,0.05,4,"[0.8, 0.15, 0.05]","[""val""]",lsn,1,0.2,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1260,0,0,0,0.0,9.103,8889,454,9343,52,2.096,1,1,13360,1467.6,0.435,0.001,47.9,0.202,,ok
1200,1700000000000,50000,400,6,05ff0ffbf9de,0.05,unsafe,hudi,0.05,False,"[""id""]",1.0,5000000,0.05,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.2,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1126,0,134,134,0.10634920634920635,4.984,453971,2528,456499,2,0.0,1,2,7407,1486.2,0.435,0.092,51.8,0.287,,ok
1200,1700000000000,50000,400,6,3b7ac995ab53,0.05,safe,hudi,0.05,False,"[""id""]",1.0,5000000,0.05,4,"[0.8, 0.15, 0.05]","[""val""]",lsn,1,0.2,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1260,0,0,0,0.0,4.944,453994,2528,456522,2,0.0,1,2,7407,1498.2,0.448,0.092,52.1,0.296,,ok
1200,1700000000000,50000,400,6,ae373b38bad1,0.05,safe_compact,hudi,0.05,False,"[""id""]",1.0,5000000,0.05,4,"[0.8, 0.15, 0.05]","[""val""]",lsn,1,0.2,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1260,0,0,0,0.0,5.695,905320,2528,907848,3,0.0,2,2,7407,1300.6,0.459,0.159,52.0,0.267,,ok
1200,1700000000000,50000,400,6,ac41b3899880,0.05,unsafe,delta,0.05,False,"[""id""]",1.0,5000000,0.05,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.2,101,1,lsn,4,False,0,0,0,0,0,0,1260,1204,11,39,56,0.044444444444444446,124.184,145070,0,145070,68,0.0,44,0,7723,62.2,0.436,0.001,27.2,1.176,,ok
1200,1700000000000,50000,400,6,3170b25cb7b0,0.05,safe,delta,0.05,False,"[""id""]",1.0,5000000,0.05,4,"[0.8, 0.15, 0.05]","[""val""]",lsn,1,0.2,101,1,lsn,4,False,0,0,0,0,0,0,1260,1260,0,0,0,0.0,102.168,160400,0,160400,69,0.0,44,0,7407,72.5,0.474,0.002,29.3,0.916,,ok
1200,1700000000000,50000,400,6,0591d90862cb,0.05,safe_compact,delta,0.05,False,"[""id""]",1.0,5000000,0.05,4,"[0.8, 0.15, 0.05]","[""val""]",lsn,1,0.2,101,1,lsn,4,False,0,0,0,0,0,0,1260,1260,0,0,0,0.0,102.629,20444,0,20444,70,1.174,1,0,7407,72.2,0.444,0.0,29.5,1.089,,ok
