dup_rate,key_id,m,tail_op,n_cu_versions,current_op,eligible,dup_injected_any,n_versions_duplicated,dup_on_current,caused_violation,verdict
0.05,77,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,985,2,u,2,u,True,True,1,True,True,DUPLICATE
0.05,881,8,u,8,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,515,3,u,3,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,475,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,585,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,460,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,981,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1224,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,116,7,u,7,u,True,True,2,False,False,MATCH_OR_OTHER
0.05,959,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,553,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,393,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,776,7,u,7,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,774,1,u,1,u,True,True,1,True,True,DUPLICATE
0.05,211,9,u,9,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,138,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,374,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,249,3,d,2,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,571,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,463,2,d,1,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,854,5,d,4,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,1026,3,d,2,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,207,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1058,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,593,7,c,6,c,True,True,1,False,False,MATCH_OR_OTHER
0.05,735,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,877,3,d,2,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,177,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,867,4,u,4,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,441,2,d,1,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,215,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1145,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1167,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,90,6,u,6,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,812,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,704,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,763,2,d,1,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,540,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,317,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,607,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,173,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,960,6,u,6,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,865,5,u,5,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,133,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,445,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1143,2,d,1,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,1019,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,251,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,420,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,713,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,250,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,183,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1037,4,d,3,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,386,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,604,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,324,2,d,1,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,146,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,482,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,313,2,d,1,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,189,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,265,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,944,3,u,3,u,True,True,1,True,True,DUPLICATE
0.05,437,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,957,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,574,7,u,7,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,923,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,675,4,u,4,u,True,True,1,True,True,DUPLICATE
0.05,1004,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1101,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1136,6,u,6,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1141,2,d,1,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,737,9,u,9,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,805,3,c,2,c,True,False,0,False,False,MATCH_OR_OTHER
0.05,856,4,d,3,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,1044,2,d,1,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,276,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,905,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,532,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,141,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,474,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,306,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,203,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1003,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,254,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,38,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,406,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,744,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,933,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,937,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,455,5,u,5,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,137,4,u,4,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,534,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,280,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1027,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1190,2,d,1,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,259,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1171,5,u,5,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1199,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1151,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,821,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,891,3,d,2,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,1227,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,57,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,993,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,498,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,903,6,u,6,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,765,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,334,6,d,5,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,384,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,264,4,u,4,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,999,6,u,6,u,True,True,1,True,True,DUPLICATE
0.05,849,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1148,4,u,4,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,296,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1047,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,48,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,524,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,659,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,353,2,d,1,d,False,True,1,False,False,MATCH_OR_OTHER
0.05,1248,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1107,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1025,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,404,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,8,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,110,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1178,3,d,2,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,6,2,d,1,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,1154,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,86,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,480,3,d,2,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,47,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,503,5,u,5,u,True,True,1,True,True,DUPLICATE
0.05,977,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1194,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1192,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,436,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1255,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,591,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1173,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,458,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,240,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,681,1,u,1,u,True,True,1,True,True,DUPLICATE
0.05,1095,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1023,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,889,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1010,4,d,3,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,869,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,576,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,288,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1191,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,899,7,u,7,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,300,3,u,3,u,True,True,1,True,True,DUPLICATE
0.05,1081,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,878,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,688,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,573,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,598,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,340,6,u,6,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,11,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,439,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1096,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,848,5,u,5,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,491,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,188,1,u,1,u,True,True,1,True,True,DUPLICATE
0.05,131,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,464,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,260,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
