config.base_keys,config.base_ts_ms,config.checkpoint_events,config.clock_skew_ms,config.config_hash,config.dup_rate,config.enforcement_mode,config.format,config.insert_rate,config.keep_tables,config.key_columns,config.keys_sampled,config.max_events,config.ooo_rate,config.ooo_window,config.op_mix,config.payload_columns,config.precombine_field,config.scale_factor,config.schema_change_freq,config.seed,config.ts_step_ms,config.version_column,config.versions_per_key_mean,correctness.checker_oracle_mismatch,correctness.n_agree,correctness.n_checker_abstain,correctness.n_correctly_absent,correctness.n_delete_tail_blind,correctness.n_duplicate,correctness.n_ghost,correctness.n_keys,correctness.n_match,correctness.n_missing_current,correctness.n_stale_wins,correctness.n_violations,correctness.violation_rate,cost.apply_time_s,cost.bytes_data,cost.bytes_delete,cost.bytes_total,cost.commit_count,cost.data_files,cost.delete_files,cost.events,cost.events_per_s,cost.gen_time_s,cost.mb_per_s,cost.peak_rss_mb,cost.readback_time_s,error,status
1200,1700000000000,50000,0.0,52463f980f5a,0.0,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.5,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,97,88,0,88,1260,727,40,405,533,0.423015873015873,9.576,98150,32424,130574,51,50,50,13360,1395.2,0.486,0.014,48.3,1.422,,ok
1200,1700000000000,50000,0.0,c9788c394316,0.0,unsafe,hudi,0.05,False,"[""id""]",1.0,5000000,0.5,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1260,0,0,0,0.0,5.017,453967,2528,456495,2,1,2,7407,1476.4,0.434,0.091,51.8,0.31,,ok
1200,1700000000000,50000,0.0,e9a7d34508ed,0.0,unsafe,delta,0.05,False,"[""id""]",1.0,5000000,0.25,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,0,0,0,0,0,0,1260,988,16,206,272,0.21587301587301588,116.728,163396,0,163396,70,44,0,7407,63.5,0.452,0.001,27.2,1.266,,ok
1200,1700000000000,50000,0.0,c2f9935392e2,0.0,unsafe,delta,0.05,False,"[""id""]",1.0,5000000,0.5,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,0,0,0,0,0,0,1260,727,40,405,533,0.423015873015873,104.214,161598,0,161598,70,42,0,7407,71.1,0.454,0.002,29.3,1.072,,ok
1200,1700000000000,50000,0.0,d6a91187e430,0.05,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,62,0,1260,1198,0,0,62,0.049206349206349205,9.445,97778,32424,130202,51,50,50,13676,1448.0,0.45,0.014,48.0,1.462,,ok
1200,1700000000000,50000,0.0,187af98406d3,0.15,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,179,0,1260,1081,0,0,179,0.14206349206349206,9.081,106939,32424,139363,51,50,50,14264,1570.8,0.443,0.015,50.4,1.345,,ok
1200,1700000000000,50000,0.0,150c44b2175a,0.3,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,344,0,1260,916,0,0,344,0.273015873015873,9.668,111200,32424,143624,51,50,50,15177,1569.8,0.442,0.015,48.7,1.368,,ok
1200,1700000000000,50000,0.0,edcc3a95077c,0.3,unsafe,hudi,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1260,0,0,0,0.0,5.279,453968,2528,456496,2,1,2,7407,1403.1,0.542,0.086,52.0,0.371,,ok
1200,1700000000000,50000,0.0,bc11b3381247,0.3,unsafe,delta,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,0,0,0,0,0,0,1260,1260,0,0,0,0.0,93.144,160794,0,160794,69,44,0,9224,99.0,0.44,0.002,28.0,0.994,,ok
1200,1700000000000,50000,0.0,509d91816f3c,0.0,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.2,101,1,lsn,4,False,1075,0,144,32,170,41,1260,1049,0,0,211,0.16746031746031745,8.987,94300,30445,124745,50,49,49,12307,1369.4,0.461,0.014,41.9,1.341,,ok
1200,1700000000000,50000,0.0,727d1b0cee02,0.0,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.6,101,1,lsn,4,False,1075,0,76,54,518,109,1260,633,0,0,627,0.4976190476190476,6.784,83895,21203,105098,36,35,35,10357,1526.7,0.446,0.015,50.5,1.178,,ok
