key_id,m,competitive_ops,tail_op,n_cu_versions,current_op,current_is_cu,current_dup_uniform,current_dup_fired,n_flags_fired,duplicate,verdict
185,7,uuuuuuu,u,7,u,True,0.267850,True,3,True,DUPLICATE
442,1,u,u,1,u,True,0.947355,False,0,False,MATCH_OR_OTHER
311,5,uuuuu,u,5,u,True,0.734006,False,2,False,MATCH_OR_OTHER
1260,3,cuu,u,3,u,True,0.834175,False,0,False,MATCH_OR_OTHER
1035,2,uu,u,2,u,True,0.849408,False,1,False,MATCH_OR_OTHER
233,16,uuuuuuuuuuuuuuud,d,15,d,False,-,False,4,False,MATCH_OR_OTHER
34,1,u,u,1,u,True,0.255839,True,1,True,DUPLICATE
879,1,u,u,1,u,True,0.983039,False,0,False,MATCH_OR_OTHER
980,7,uuuuuuu,u,7,u,True,0.073719,True,2,True,DUPLICATE
159,3,uuu,u,3,u,True,0.991102,False,1,False,MATCH_OR_OTHER
817,3,uuu,u,3,u,True,0.881614,False,0,False,MATCH_OR_OTHER
657,2,ud,d,1,d,False,-,False,0,False,MATCH_OR_OTHER
559,3,uuu,u,3,u,True,0.012638,True,2,True,DUPLICATE
784,5,uuuuu,u,5,u,True,0.178628,True,2,True,DUPLICATE
555,16,uuuuuuuuuuuuuuuu,u,16,u,True,0.454423,False,4,False,MATCH_OR_OTHER
954,2,uu,u,2,u,True,0.705490,False,1,False,MATCH_OR_OTHER
1241,13,cuuuuuuuuuuuu,u,13,u,True,0.429174,False,3,False,MATCH_OR_OTHER
1,3,uuu,u,3,u,True,0.826594,False,0,False,MATCH_OR_OTHER
102,3,uud,d,2,d,False,-,False,0,False,MATCH_OR_OTHER
885,9,uuuuuuuuu,u,9,u,True,0.347718,False,2,False,MATCH_OR_OTHER
1024,2,uu,u,2,u,True,0.369419,False,1,False,MATCH_OR_OTHER
220,5,uuuuu,u,5,u,True,0.575269,False,1,False,MATCH_OR_OTHER
1108,4,uuuu,u,4,u,True,0.567872,False,1,False,MATCH_OR_OTHER
17,4,uuud,d,3,d,False,-,False,2,False,MATCH_OR_OTHER
54,8,uuuuuuud,d,7,d,False,-,False,3,False,MATCH_OR_OTHER
1090,2,uu,u,2,u,True,0.513599,False,0,False,MATCH_OR_OTHER
523,3,uuu,u,3,u,True,0.301767,False,1,False,MATCH_OR_OTHER
1245,5,cuuuu,u,5,u,True,0.798065,False,0,False,MATCH_OR_OTHER
859,1,u,u,1,u,True,0.862520,False,0,False,MATCH_OR_OTHER
279,4,uuuu,u,4,u,True,0.268067,True,2,True,DUPLICATE
712,8,uuuuuuuu,u,8,u,True,0.690523,False,5,False,MATCH_OR_OTHER
284,6,uuuuuu,u,6,u,True,0.204480,True,3,True,DUPLICATE
618,6,uuuuuu,u,6,u,True,0.129609,True,4,True,DUPLICATE
75,3,uud,d,2,d,False,-,False,1,False,MATCH_OR_OTHER
658,10,uuuuuuuuuu,u,10,u,True,0.392000,False,2,False,MATCH_OR_OTHER
914,1,u,u,1,u,True,0.022533,True,1,True,DUPLICATE
1094,1,u,u,1,u,True,0.885878,False,0,False,MATCH_OR_OTHER
88,4,uuuu,u,4,u,True,0.603069,False,0,False,MATCH_OR_OTHER
208,3,uuu,u,3,u,True,0.775076,False,1,False,MATCH_OR_OTHER
832,2,ud,d,1,d,False,-,False,0,False,MATCH_OR_OTHER
642,7,uuuuuud,d,6,d,False,-,False,1,False,MATCH_OR_OTHER
829,4,uuuu,u,4,u,True,0.110270,True,1,True,DUPLICATE
466,3,uuu,u,3,u,True,0.344982,False,0,False,MATCH_OR_OTHER
949,2,ud,d,1,d,False,-,False,0,False,MATCH_OR_OTHER
537,3,uuu,u,3,u,True,0.356419,False,0,False,MATCH_OR_OTHER
1232,11,cuuuuuuuudc,c,10,c,True,0.906834,False,4,False,MATCH_OR_OTHER
800,1,u,u,1,u,True,0.406943,False,0,False,MATCH_OR_OTHER
294,4,uuuu,u,4,u,True,0.173348,True,3,True,DUPLICATE
601,5,uuuuu,u,5,u,True,0.715620,False,1,False,MATCH_OR_OTHER
1066,1,u,u,1,u,True,0.962409,False,0,False,MATCH_OR_OTHER
584,6,uuuuuu,u,6,u,True,0.757204,False,1,False,MATCH_OR_OTHER
698,4,uuuu,u,4,u,True,0.530486,False,2,False,MATCH_OR_OTHER
1169,3,uud,d,2,d,False,-,False,1,False,MATCH_OR_OTHER
521,2,uu,u,2,u,True,0.931286,False,0,False,MATCH_OR_OTHER
103,4,uuuu,u,4,u,True,0.128993,True,1,True,DUPLICATE
1067,2,uu,u,2,u,True,0.301336,False,0,False,MATCH_OR_OTHER
518,3,uuu,u,3,u,True,0.392278,False,1,False,MATCH_OR_OTHER
757,9,uuuuuuuuu,u,9,u,True,0.241550,True,3,True,DUPLICATE
239,2,uu,u,2,u,True,0.230756,True,1,True,DUPLICATE
1087,1,u,u,1,u,True,0.082092,True,1,True,DUPLICATE
1039,2,uu,u,2,u,True,0.761972,False,1,False,MATCH_OR_OTHER
1207,9,cuuuuuuuu,u,9,u,True,0.639598,False,2,False,MATCH_OR_OTHER
787,5,uuuuu,u,5,u,True,0.183518,True,2,True,DUPLICATE
858,8,uuuuuudc,c,7,c,True,0.150358,True,3,True,DUPLICATE
479,7,uuuuuuu,u,7,u,True,0.436038,False,3,False,MATCH_OR_OTHER
292,1,u,u,1,u,True,0.930874,False,0,False,MATCH_OR_OTHER
920,6,uuuuuu,u,6,u,True,0.347405,False,2,False,MATCH_OR_OTHER
565,3,uud,d,2,d,False,-,False,1,False,MATCH_OR_OTHER
447,6,uuuuud,d,5,d,False,-,False,0,False,MATCH_OR_OTHER
1130,3,udc,c,2,c,True,0.305686,False,0,False,MATCH_OR_OTHER
711,1,u,u,1,u,True,0.011427,True,1,True,DUPLICATE
661,3,uuu,u,3,u,True,0.421327,False,2,False,MATCH_OR_OTHER
736,5,uuuud,d,4,d,False,-,False,1,False,MATCH_OR_OTHER
925,4,uuuu,u,4,u,True,0.361308,False,1,False,MATCH_OR_OTHER
462,2,uu,u,2,u,True,0.747828,False,0,False,MATCH_OR_OTHER
1259,11,cuuuuuuuuuu,u,11,u,True,0.182364,True,4,True,DUPLICATE
1254,6,cuuuud,d,5,d,False,-,False,0,False,MATCH_OR_OTHER
67,3,uud,d,2,d,False,-,False,0,False,MATCH_OR_OTHER
1217,2,cu,u,2,u,True,0.156964,True,1,True,DUPLICATE
586,3,uud,d,2,d,False,-,False,0,False,MATCH_OR_OTHER
746,1,u,u,1,u,True,0.349768,False,0,False,MATCH_OR_OTHER
608,7,uuuuuuu,u,7,u,True,0.373626,False,1,False,MATCH_OR_OTHER
312,1,u,u,1,u,True,0.049820,True,1,True,DUPLICATE
842,4,uuuu,u,4,u,True,0.358242,False,0,False,MATCH_OR_OTHER
913,5,uuuuu,u,5,u,True,0.398353,False,1,False,MATCH_OR_OTHER
29,5,uuuud,d,4,d,False,-,False,1,False,MATCH_OR_OTHER
697,3,uud,d,2,d,False,-,False,1,False,MATCH_OR_OTHER
342,1,u,u,1,u,True,0.337383,False,0,False,MATCH_OR_OTHER
1011,3,uud,d,2,d,False,-,False,0,False,MATCH_OR_OTHER
1197,6,uuuuuu,u,6,u,True,0.222225,True,2,True,DUPLICATE
1153,1,u,u,1,u,True,0.764882,False,0,False,MATCH_OR_OTHER
42,3,uuu,u,3,u,True,0.018889,True,1,True,DUPLICATE
701,6,uuuuuu,u,6,u,True,0.606588,False,0,False,MATCH_OR_OTHER
59,3,uuu,u,3,u,True,0.147189,True,2,True,DUPLICATE
81,1,u,u,1,u,True,0.041905,True,1,True,DUPLICATE
669,2,uu,u,2,u,True,0.826988,False,0,False,MATCH_OR_OTHER
888,2,uu,u,2,u,True,0.688247,False,0,False,MATCH_OR_OTHER
7,4,uuuu,u,4,u,True,0.568726,False,0,False,MATCH_OR_OTHER
932,1,u,u,1,u,True,0.867077,False,0,False,MATCH_OR_OTHER
37,3,uuu,u,3,u,True,0.034703,True,2,True,DUPLICATE
886,8,uuuuuuuu,u,8,u,True,0.921819,False,4,False,MATCH_OR_OTHER
