key_id,m,competitive_lsns,competitive_ops,clean_seqs,final_seqs,n_pairs,fired_pairs,last_pair_uniform,last_pair_fired,tail_op,current_lsn,winner_vidx,winner_seq,winner_lsn,winner_op,present,violated,verdict
567,10,1225;1996;2039;2574;3891;5044;6299;6584;6733;7280,uuuuuuuuuu,1;2;3;4;5;6;7;8;9;10,1;2;4;5;6;3;7;8;9;10,9,3;4;5,0.478180,False,u,7280,9,10,7280,u,1,False,MATCH
734,8,1226;2534;2570;2676;3730;4161;6986;7272,uuuuuuuu,1;2;3;4;5;6;7;8,1;2;3;4;5;6;7;8,7,-,0.991353,False,u,7272,7,8,7272,u,1,False,MATCH
623,19,1227;1312;1325;1641;1817;2156;2252;2456;2766;2835;2871;3374;3423;3432;4743;5588;6131;6813;7121,uuuuuuuuuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,2;1;3;4;6;5;7;8;9;11;10;12;14;13;15;17;16;18;19,18,1;5;10;13;16,0.433512,False,u,7121,18,19,7121,u,1,False,MATCH
456,9,1228;1280;2976;3221;4285;4609;4929;6413;7078,uuuuuuuuu,1;2;3;4;5;6;7;8;9,2;1;3;4;5;6;7;9;8,8,1;8,0.074764,True,u,7078,7,9,6413,u,1,True,STALE_WINS
836,21,1229;1517;1748;1771;1928;3310;3314;3402;3474;3536;4235;4351;4590;5084;5265;5329;5358;5556;5606;5668;6996,uuuuuuuuuuuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;3;2;5;4;6;8;9;7;10;11;12;14;13;16;15;17;18;20;19;21,20,2;4;7;8;13;15;19,0.462069,False,u,6996,20,21,6996,u,1,False,MATCH
1006,2,1230;1511,uu,1;2,1;2,1,-,0.272213,False,u,1511,1,2,1511,u,1,False,MATCH
599,8,1231;2557;3881;4190;5092;5632;6185;6542,uuuuuuuu,1;2;3;4;5;6;7;8,1;2;4;3;5;6;7;8,7,3,0.298783,False,u,6542,7,8,6542,u,1,False,MATCH
563,4,1232;1275;3708;6459,uuuu,1;2;3;4,2;1;3;4,3,1,0.897009,False,u,6459,3,4,6459,u,1,False,MATCH
412,13,1234;1355;1636;1760;1915;2465;3416;3643;4038;4623;5479;6841;7348,uuuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12;13,1;3;2;4;6;5;8;9;7;10;11;13;12,12,2;5;7;8;12,0.222683,True,u,7348,11,13,6841,u,1,True,STALE_WINS
1124,12,1236;2581;2692;2784;3431;3899;4267;5198;5458;6023;7069;7312,uuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12,1;3;2;4;5;6;8;7;9;10;11;12,11,2;7,0.680820,False,u,7312,11,12,7312,u,1,False,MATCH
1074,4,1237;1538;4919;4985,uuuu,1;2;3;4,1;3;4;2,3,2;3,0.075858,True,u,4985,2,4,4919,u,1,True,STALE_WINS
